Employee,WorkAssignment,Position,HROrganizationUnit,Active,PayRateType,PayRate,LegalEntity
200,1,60,24,1,2,22000.000000,US - BANK
201,1,57,26,1,2,22000.000000,BANK
202,1,52,72,1,2,23650.000000,BANK
203,1,28,63,1,2,24000.000000,BANK
204,1,55,73,1,2,45000.000000,BANK
205,1,61,35,1,2,25000.000000,BANK
206,1,7,54,1,2,125000.000000,BANK
207,1,33,25,1,2,45000.000000,US - BANK
208,1,58,10,1,2,22000.000000,BANK
210,1,59,72,1,2,45000.000000,BANK
212,1,23,19,1,2,27500.000000,US - BANK
213,1,56,26,1,2,45000.000000,BANK
214,1,47,63,1,2,75000.000000,BANK
216,1,46,43,1,2,28000.000000,BANK
217,1,62,35,1,2,17000.000000,BANK
219,1,48,63,1,2,46500.000000,BANK
220,1,29,10,1,2,50000.000000,US - BANK
228,1,54,26,1,2,75000.000000,BANK
229,1,22,19,1,2,45000.000000,US - BANK
230,1,25,14,1,2,18000.000000,BANK
231,1,45,43,1,2,45000.000000,BANK
300,1,16,33,1,2,75000.000000,BANK
301,1,50,33,1,2,21750.000000,BANK
302,1,50,33,1,2,22250.000000,BANK
303,1,49,33,1,2,46250.000000,BANK
304,1,51,33,1,2,21500.000000,BANK
320,1,39,31,1,2,75000.000000,BANK
321,1,41,31,1,2,22000.000000,BANK
322,1,41,31,1,2,23000.000000,BANK
323,1,40,31,1,2,45000.000000,BANK
324,1,53,72,1,2,76500.000000,BANK
340,1,42,31,1,2,37500.000000,BANK
341,1,43,31,1,2,22500.000000,BANK
342,1,43,31,1,2,26000.000000,BANK
343,1,38,71,1,2,75000.000000,BANK
360,1,32,25,1,2,75000.000000,BANK
361,1,34,25,1,2,40000.000000,BANK
370,1,35,70,1,2,75000.000000,BANK
371,1,36,70,1,2,45000.000000,BANK
372,1,37,70,1,2,25000.000000,BANK
373,1,37,70,1,2,25000.000000,BANK
390,1,15,35,1,2,30000.000000,BANK
1000,1,60,24,1,2,24000.000000,US - BANK
1016,1,87,25,0,,0.000000,US - BANK
1018,1,28,63,1,2,21075.000000,US - BANK
1026,1,31,65,1,,0.000000,US - BANK
1030,1,28,62,1,2,20000.000000,US - BANK
1033,1,18,28,1,2,300000.000000,BANK
1041,1,31,65,1,,0.000000,US - BANK
1042,1,87,31,1,,0.000000,US - BANK
1043,1,76,54,1,2,32500.000000,US - BANK
1048,1,83,8,1,,0.000000,US - BANK
1050,1,13,55,0,,0.000000,BANK
1050,2,6,10,0,,0.000000,
1050,3,13,55,0,,0.000000,BANK
1050,4,2,8,0,,0.000000,
1053,1,28,63,1,2,24000.000000,BANK
1054,1,27,17,1,2,22000.000000,BANK
1062,1,87,59,1,,0.000000,US - BANK
1068,1,87,39,0,,0.000000,US - BANK
1075,1,74,19,1,2,12000.000000,US - BANK
1076,1,77,10,1,2,50000.000000,US - BANK
1079,1,3,8,1,2,300000.000000,BANK
1085,1,63,17,1,2,10000.000000,US - BANK
1092,1,92,40,1,,0.000000,US - BANK
1102,1,43,10,0,2,25000.000000,US - BANK
1102,2,42,59,1,2,30000.000000,US - BANK
1110,1,80,8,1,,0.000000,US - BANK
1118,1,14,24,1,2,65000.000000,BANK
1121,1,21,18,1,2,25000.000000,BANK
1122,1,31,65,1,,0.000000,
1126,1,88,13,1,,0.000000,US - BANK
1128,1,44,43,1,2,45000.000000,US - BANK
1131,1,28,63,1,2,20000.000000,US - BANK
1137,1,2,8,1,2,250000.000000,BANK
1138,1,78,8,1,,0.000000,US - BANK
1159,1,8,8,1,2,200000.000000,BANK
1168,1,31,65,1,,0.000000,US - BANK
1174,1,73,14,1,2,12000.000000,US - BANK
1189,1,26,17,1,2,28000.000000,BANK
1191,1,87,15,1,,0.000000,US - BANK
1192,1,70,19,1,2,15000.000000,US - BANK
1195,1,31,65,1,,0.000000,US - BANK
1206,1,11,18,1,2,50000.000000,BANK
1212,1,88,13,1,,0.000000,
1214,1,65,14,1,2,10000.000000,US - BANK
1217,1,87,58,1,,0.000000,US - BANK
1220,1,31,65,1,,0.000000,US - BANK
1229,1,6,10,1,2,250000.000000,BANK
1230,1,79,8,1,,0.000000,US - BANK
1233,1,19,30,1,2,250000.000000,BANK
1239,1,5,8,1,2,175000.000000,BANK
1240,1,87,24,0,,0.000000,US - BANK
1242,1,87,56,1,,0.000000,US - BANK
1254,1,87,66,0,,0.000000,US - BANK
1275,1,87,57,1,,0.000000,US - BANK
1277,1,89,66,1,,0.000000,US - BANK
1279,1,85,18,1,,0.000000,US - BANK
1300,1,87,57,1,,0.000000,US - BANK
1308,1,87,31,0,,0.000000,US - BANK
1319,1,87,40,0,,0.000000,US - BANK
1324,1,90,13,1,,0.000000,US - BANK
1362,1,71,17,1,2,12000.000000,US - BANK
1369,1,30,65,1,,0.000000,US - BANK
1393,1,9,3,1,2,50000.000000,BANK
1396,1,75,44,1,2,75000.000000,US - BANK
1399,1,91,38,1,,0.000000,US - BANK
1401,1,84,15,1,,0.000000,US - BANK
1423,1,87,54,1,,0.000000,US - BANK
1424,1,20,44,1,2,250000.000000,BANK
1427,1,87,38,1,,0.000000,US - BANK
1430,1,86,16,1,,0.000000,US - BANK
1444,1,10,16,1,2,50000.000000,BANK
1444,2,10,16,0,,0.000000,
1450,1,69,14,1,2,15000.000000,US - BANK
1465,1,87,26,0,,0.000000,US - BANK
1468,1,4,8,1,2,200000.000000,BANK
1471,1,62,35,0,2,20000.000000,US - BANK
1476,1,66,19,1,2,10000.000000,US - BANK
1480,1,87,46,1,,0.000000,US - BANK
1481,1,82,8,1,,0.000000,US - BANK
1486,1,81,8,1,,0.000000,US - BANK
1491,1,67,19,1,2,15000.000000,US - BANK
2050,1,1,8,0,,0.000000,
2050,2,1,8,1,2,500000.000000,BANK
3001,1,54,26,1,2,50000.000000,BANK
3002,1,28,63,1,2,22575.000000,
3003,1,64,76,1,2,15000.000000,BANK
3004,1,68,64,1,2,25000.000000,BANK
3007,1,24,14,1,2,25800.000000,BANK
