ParentUnit,HROrganizationUnit,Description,HROrganization,UnitType,ParentUnitShortDescriptionForSort,ShortDescription,Location
0,1,SSI ABC Demo,ABC,,,ABC,
0,1,SSI Bank (Demo),BANK,,,Bank of the US,
28,3,"Bank of US - Boca Rotan, Florida",BANK,,US Operations,US / Boca Rotan,BOCA ROTAN FL
28,4,"Bank of US - Deerfield, Florida",BANK,,US Operations,US / Deerfield,
28,5,"Bank of US - Ft Lauderdale, Florida",BANK,,US Operations,US / Ft Lauderdale,
29,6,"Bank of US - Toronto, Canada",BANK,,Canada Ops,CAN - Toronto,
30,7,"Bank of US - Bridgetown, Barbados",BANK,,Caribbean Ops,CARIBB - Bridgetown,
64,8,Bank of US Corporate - Executives,BANK,,Corporate Office,Corp - Executives,
64,10,Bank of US Corporate - Finance,BANK,,Corporate Office,Corp - Finance,
64,11,Bank of US Corporate - Branch Operations,BANK,,Corporate Office,Corp - Branch Oper,
64,12,Bank of US Corporate - Client Services,BANK,,Corporate Office,Corp - Client Serv,
64,13,Bank of US Corporate - Technology,BANK,,Corporate Office,Corp - Technology,
3,14,Boca Rotan FL Branch - Operations,BANK,,US / Boca Rotan,Boca Rotan - Oper,
3,15,Baco Raton FL Branch - Administration,BANK,,US / Boca Rotan,Boca Rotan - Admin,
4,16,Deerfield FL Branch - Administration,BANK,,US / Deerfield,Deerfield - Admin,
4,17,Deerfield FL Branch - Operations,BANK,,US / Deerfield,Deerfield - Oper,
5,18,Ft Lauderdale FL Branch - Administration,BANK,,US / Ft Lauderdale,Ft Lauderdle - Admin,
5,19,Ft Lauderdale FL Branch - Operations,BANK,,US / Ft Lauderdale,Ft Lauderdale - Oper,
6,20,Toronto CAN Branch - Administration,BANK,,CAN - Toronto,Toronto - Admin,
6,21,Toronto CAN Branch - Operations,BANK,,CAN - Toronto,Toronto - Operations,
7,22,Bridgetown Barbados Branch - Administration,BANK,,CARIBB - Bridgetown,Bridgetown - Admin,
7,23,Bridgetown Barbados Branch - Operations,BANK,,CARIBB - Bridgetown,Bridgetown - Oper,
10,24,Accounting Division,BANK,,Corp - Finance,Accounting,CORPORATE OFFICE
10,25,Treasury Division,BANK,,Corp - Finance,Treasury,CORPORATE OFFICE
10,26,Budget Division,BANK,,Corp - Finance,Budget,CORPORATE OFFICE
1,28,US Operations,BANK,,Bank of the US,US Operations,
1,29,Canadian Operations,BANK,,Bank of the US,Canada Ops,
1,30,Caribbean Operations,BANK,,Bank of the US,Caribbean Ops,
10,31,Purchasing Division,BANK,,Corp - Finance,Purchasing,CORPORATE OFFICE
24,32,Corp - General Accounting,BANK,,Accounting,General Accounting,CORPORATE OFFICE
24,33,Corp - Accounts Payable,BANK,,Accounting,Accounts Payable,CORPORATE OFFICE
24,34,Payroll,BANK,,Accounting,Payroll,CORPORATE OFFICE
24,35,Corp - Accounts Receivable,BANK,,Accounting,Accounts Receivable,CORPORATE OFFICE
