Description,HROrganization,Position,ShortDescription
CEO / President - Bank of the US,BANK,1,CEO / President
Chief Financial Officer,BANK,2,CFO
Chief Technology Officer,BANK,3,CTO
Chief Operations Officer,BANK,4,COO
Chief Banking Officer,BANK,5,CBO
Vice President - Finance,BANK,6,VP Finance
Controller,BANK,7,Controller
Vice President of Mergers and Acquisitions,BANK,8,VP Mergers & Acq
Branch Manager - Boca Rotan Branch,BANK,9,BrMgr - Boca Rotan
Branch Manager for Deerfield FL Branch,BANK,10,BrMgr - Deerfield
Branch Manager for Ft Lauderdale FL Branch,BANK,11,BrMgr - FtLauderdale
Branch Manager for Toronto CAN Branch,BANK,12,BrMgr - Toronto
Test Position,BANK,13,zzTEST
Manager - US  Accounting,BANK,14,MGR - US Acctg
Senior Manager - Corporate Receivables,BANK,15,SrMGR - Corp Receivb
Manager - Corporate Payables,BANK,16,MGR Corp A/P
Vice President of US Operations,BANK,18,VP - US Operations
Vice President of Caribbean Operations,BANK,19,VP - Caribbean Ops
Vice President Canadian Operations,BANK,20,VP Canadian Ops
Ft Lauderdale Branch Administrative Assistant,BANK,21,FtLaud  Admin Asst
Ft Lauderdale Branch Senior Cashier,BANK,22,FtLaud Sr Cashier
Ft Lauderdale Branch Cashier,BANK,23,FtLaud Cashier
SR Cashier - Boca Raton Branch,BANK,24,BocaRtn Sr Cashier
Cashier - Boca Raton Branch,BANK,25,BocaRt Cashier
Deerfield FL Branch SR Cashier,BANK,26,Deerfld Sr Cashier
Deerfield FL Branch Cashier/Teller,BANK,27,Deerfld Cashier/Tell
Assets Accountant,BANK,28,Assets Accountant
Manager Corporate Accounting,BANK,29,MGR Accounting
Chairman of the Board of Directors,BANK,30,Board Chairman
Member of the Board of Directors,BANK,31,Board Member
Manager of Treasury,BANK,32,Mgr Treasury
Supervisor - Treasury,BANK,33,Supv Treasury
Treasury Analyst,BANK,34,Treasury Analyst
Manager of Supplies and Services,BANK,35,MGR Supplies Svc
Supervisory - Inventory,BANK,36,Supv Inventory
Receiving Clerk,BANK,37,Receiving Clerk
Manager of Contracts,BANK,38,MGR  Contracts
Manager of Purchasing,BANK,39,Mgr Purchasing
Supervisor - Purchasing,BANK,40,Supv Purchasing
Purchasing Requestor,BANK,41,Requestor
Senior Buyer,BANK,42,Sr Buyer
Buyer,BANK,43,Buyer
Manager of Internal Audit,BANK,44,MGR Internal Audit
Supervisor of Internal Audit,BANK,45,SUPV Internal Audit
Internal Auditor,BANK,46,Internal Auditor
Manager of Corporate Assets,BANK,47,MGR Assets
Supervisory of Corporate Assets,BANK,48,Supv Assets
Supervisor of Accounts Payable,BANK,49,Supv Payables
Clerk - Account Payables,BANK,50,Payables Clerk
Accounts Payable Payment Processor,BANK,51,Processor
Projects Accountant,BANK,52,Proj Accountant
Manager of Corporate Projects,BANK,53,MGR Projects
Manager of Corporate Budgets,BANK,54,MGR Budget
Supervisor of Ledgers,BANK,55,SUPV Ledger
Supervisor of Budgets,BANK,56,SUPV Budget
Corporate Budget Accountant,BANK,57,Budget Accountant
Corporate Ledger Accountant,BANK,58,Ledger Accountant
Supervisor of Corporate Projects,BANK,59,SUPV Projects
Staff Accountant - Finance,BANK,60,Staff Accountant
Supervisor Corporate Accounts Receivables,BANK,61,SUPV Corp Receivable
Corporate Accounts Receivable Clerk,BANK,62,Clerk - Corp A/R
Janitor - Deerfield Branch,BANK,63,Janitor - Deerfld
Janitor - Corporate,BANK,64,Janitor - Corp
Janitor - Boca Rotan Branch,BANK,65,Janitor - BRotan
Janitor - Ft Lauderdale Branch,BANK,66,Janitor - FtL
Receiptionist - Deerfield Branch,BANK,67,Receptionist - Deerf
Receiptionist - Corporate,BANK,68,Receptionist - Corp
Receiptionist - Boca Rotan Branch,BANK,69,Receptionist - BRato
Receptionist - Ft Lauderdale Branch,BANK,70,Receptionist - FtL
Mailroom Attendant - Deerfield Branch,BANK,71,Mailroom Att - Deerf
Mailroom Attendant - Corporate,BANK,72,Mailroom Att - Corp
Mailroom Attendant - Boca Raton Branch,BANK,73,Mailroom Att - Brato
Mailroom Attendant - Ft Lauderdale Branch,BANK,74,Mailroom Att - FtL
Manager Corporate Operations,BANK,75,MGR Corp Ops
Admin Assistant to the Controller,BANK,76,Admin Assistnt Cntlr
Executive Secretary to VP Finance,BANK,77,ExecSec VP FIN
Executive Secretary to VP Operations,BANK,78,ExecSec VP OPS
Executive Secretary to CEO,BANK,79,ExecSec CEO
Executive Secretary to CFO,BANK,80,ExecSec CFO
Executive Secretary to COO,BANK,81,ExecSec COO
Executive Secretary to CTO,BANK,82,ExecSec CTO
Executive Secretary to CBO,BANK,83,ExecSec CBO
Executive Branch Secretary - Boca Rotan,BANK,84,ExecSec BocaRotan
Executive Branch Secretary - Ft Lauderdale,BANK,85,ExecSec FtLauderdale
Executive Branch Secretary - Deerfield,BANK,86,ExecSec Deerfield
Secretary - Corporate,BANK,87,Secretary Corp
Vice President of US Technology,BANK,88,VP US Technology
Manager IT Security,BANK,89,MGR IT Security
